種	NO.	カード名	強さ/テク	タイプ	*	データ	*	Dinosaur King 2007 CODE39  Species	No.	Name of card	Strength/Tech	Type	*	Data	*
竜	KS008	ティラノサウルス(=KS001ミスプリ)	2000	ふっかつ	*	SEGA8XYHMLW4	*	Dragon	KS008	Tyrannosaurus (= KS001 Mispri)	2000	ふっかつ	*	Sega 8XYHMLW4	*
竜	KS008	ティラノサウルス	2000	ふっかつ	*	SEGA4SOT894X	*	Dragon	KS008	Tyrannosaurus	2000	ふっかつ	*	SEGA4SOT894X	*
竜	ACT008	超アロサウルス	1800	どく	*	SEGATXR4V9A1	*	Dragon	ACT008	Super-Arosaurus	1800	どく	*	SEGA T X R 4V 9A1	*
竜	ACT009	超カスモサウルス	1800	どく	*	SEGAFIE9WMK1	*	Dragon	ACT009	Super-Kasmosaurus	1800	どく	*	SEGA FIE 9WMK1	*
竜	ACT010	超ケントロサウルス	1800	どく	*	SEGAZSIVL6LR	*	Dragon	ACT010	Super Kentosaurus	1800	どく	*	SEGA ZSIVL 6LR	*
技	81	テクニックアップ	!	-	*	SEGA1NWB157R	*	Techniques	81	Technique up	!	-	*	SEGA1NWB157R	*
草	105	エメラルドガーデン	!	-	*	SEGADNA5VNN8	*	Grass	105	Emerald Garden	!	-	*	SEGA DNA 5VNN8	*
秘密	-	秘密のたまご	?	-	*	SEGAOYKF6TZK	*	Secret	-	The secret egg.	?	-	*	Segaoyykf 6TZK	*
-	D-10	恐竜王　リュウタ（炎）	-	-	*	SEGA6BTVH8Z2	*	-	D-10	Dinosaur King Ryuta (Fire)	-	-	*	SEGA 6BTVH8Z2	*
-	D-11	恐竜王　レックス（水）	-	-	*	SEGAGHMT4HA1	*	-	D-11	Dinosaur King Rex (Water)	-	-	*	Segaghm 4 HA1	*
-	D-12	恐竜王　マルム（土）	-	-	*	SEGA7HP5QH4M	*	-	D-12	Dinosaur King Malm (Sat)	-	-	*	SEGA7HP5QH4M	*
-	D-13	恐竜王　リュウタ（草）	-	-	*	SEGACPHMEFZ4	*	-	D-13	Dinosaur King Ryuta (grass)	-	-	*	Sega C H M F Z 4	*
-	D-14	恐竜王　レックス（土）	-	-	*	SEGAKAJLQSA9	*	-	D-14	Dinosaur King Rex (Sat)	-	-	*	Sega JL QSA9	*
-	D-15	恐竜王　マルム（水）	-	-	*	SEGAR0Q6XTE7	*	-	D-15	Dinosaur King Malm (water)	-	-	*	SEGAR0Q6XTE7	*
-	D-16	古代博士（風）	-	-	*	SEGA21SGRAC6	*	-	D-16	Ancient Doctor (Kaze)	-	-	*	SEGA21 SGRAC6	*
-	D-17	恐竜王　リュウタ（雷）	-	-	*	SEGA1DOC4NZ8	*	-	D-17	Dinosaur King Ryuta (Thunder)	-	-	*	SEGA1DOC4NZ8	*
-	D-18	恐竜王　レックス（風）	-	-	*	SEGARFSRE0A5	*	-	D-18	Dinosaur King Rex (Wind)	-	-	*	Segar Fre 0A5	*
-	D-19	恐竜王　マルム（草）	-	-	*	SEGAM8C6EQHM	*	-	D-19	Dinosaur King Malm (grass)	-	-	*	SEGAM8C6EQHM	*
-	D-20	古代博士（土）	-	-	*	SEGAUGJALFC0	*	-	D-20	Ancient Doctor (Sat)	-	-	*	Segaug Jal F0	*
竜	AN11	パラパラ=AN03	1600	超カウンター	*	SEGAEQ0BBZ2B	*	Dragon	AN11	Parapara-AN03	1600	Super Counter	*	SEGAEQ0BBZ2B	*
竜	AN12	ティラノ=AN04	1600	超こうげき	*	SEGA3JH79ZSI	*	Dragon	AN12	Tirano-AN04	1600	Super Kogeki	*	SEGA3 JH79ZSI	*
